imdbId,movie_title,title_year,releaseDate,genres,writers,director_name,sequel,hitFlop,actor_1_name,actor_2_name,actor_3_name,actor_4_name
tt1369669,Jai Veeru: Friends Forever,2009,11-Mar-09,Action | Crime | Drama,Vekeana Dhillon (screenplay) | Omar Inayat (lyrics) | Janak (screenplay) | Hriday Lani (screenplay) | Raju Saigal (story) | Sameer (lyrics),Puneet Sira,0,1,Rakesh Bedi , Mahek Chahal , Suraj Godambe , Dinesh Hingoo
tt1370429,99,2009,15-May-09,Comedy | Crime | Drama,Raj Nidimoru (story) | Krishna D.K. (story) | Sita Menon (story) | Chintan Gandhi (Hindi dialogue) | Raja Sen (Hindi dialogue) | Sita Menon (Hindi dialogue) | Shabbir Ahmed (lyrics) | Vaibhav Modi (lyrics),Krishna D.K. | Raj Nidimoru,0,4,Kunal Khemu , Boman Irani , Soha Ali Khan , Cyrus Broacha
tt1372266,Kisaan,2009,20-Mar-09,Action | Crime | Drama,S.R. Bharti (lyrics) | Salim Bijnori (lyrics) | Vekeana Dhillon (screenplay) | Panchhi Jalonvi (lyrics) | Kanwar Juneja (lyrics) | Sohail Khan (screenplay) | Anmol Malik (lyrics) | Dilip Shukla (dialogues),Puneet Sira,0,1,Jackie Shroff , Sohail Khan , Arbaaz Khan , Nauheed Cyrusi
tt1372304,Wafaa,2008,19-Dec-08,Drama | Mystery | Romance,Shahad Allahabadi (lyrics) | Salim Raza,Rakesh Sawant,0,1,Rajesh Khanna , Shahib Chopra , Laila Khan , Ahad Khan
tt1372681,Aa Dekhen Zara,2009,27-Mar-09,Action | Crime | Drama,Sheershak Anand (story) | Shantanu Ray Chhibber (story),Jehangir Surti,0,1,Neil Nitin Mukesh , Bipasha Basu , Biswajeet Chatterjee , Sophiya Chaudhary
tt1372694,Gumnaam: The Mystery,2008,05-Dec-08,Crime | Mystery | Romance,Neeraj Pathak | Sameer (lyrics),Neeraj Pathak,0,1,Dino Morea , Mahima Chaudhry , Suman Ranganathan , Arun Bali
tt1373156,Karthik Calling Karthik,2010,26-Feb-10,Drama | Romance | Thriller,Vijay Lalwani (story),Vijay Lalwani,0,2,Farhan Akhtar , Deepika Padukone , Ram Kapoor , Vivan Bhatena
tt1375789,Race 2,2013,25-Jan-13,Action | Crime | Drama,Shiraz Ahmed (screenplay) | Kiran Kotrial (dialogue),Abbas Alibhai Burmawalla | Mastan Alibhai Burmawalla,1,5,Anil Kapoor , Saif Ali Khan , John Abraham , Deepika Padukone
tt1385824,13B: Fear Has a New Address,2009,06-Mar-09,Drama | Horror | Mystery,Abhinav Kashyap (dialogue) | Vikram K. Kumar,Vikram K. Kumar,0,2,Madhavan , Neetu Chandra , Poonam Dhillon , Sachin Khedekar
tt1388424,Three: Love Lies Betrayal,2009,04-Sep-09,Drama | Mystery | Thriller,Vikram Bhatt,Vishal Pandya,0,1,Aashish Chaudhary , Akshay Kapoor , Nausheen Ali Sardar , Achint Kaur
