director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Raj Bharat,Nana Patekar,Rajesh Kumar Singh,Nana Patekar,Mystery Thriller,vadh,"Nana Patekar Rajesh Kumar Singh Nana Patekar Raj Bharat Mystery, Thriller"
Bharathan,Sanjay Mitra,Suparna Anand,Geetha,Musical Drama Romance,vaishali,"Sanjay Mitra Suparna Anand Geetha Bharathan Musical, Drama, Romance"
Asit Sen,Zeenat Aman,Raj Kapoor,Shashi Kapoor,Drama Mystery,vakil babu,"Zeenat Aman Raj Kapoor Shashi Kapoor Asit Sen Drama, Mystery"
Sumeer Sabharwal,Manoj Bidwai,Bobby Darling,Sameer Kochhar,Romance,valentine days,Manoj Bidwai Bobby Darling Sameer Kochhar Sumeer Sabharwal Romance
Baadal,Kirshan Kumar,Manoj Bakshi,Shikhi Gupta,Romance Thriller,valentine's night,"Kirshan Kumar Manoj Bakshi Shikhi Gupta Baadal Romance, Thriller"
Hari Walia,Shammi Kapoor,Bina Rai,Nishi,Action Crime Drama,vallah kya baat hai,"Shammi Kapoor Bina Rai Nishi Hari Walia Action, Crime, Drama"
Pan Nalin,Milind Soman,Mylène Jampanoï,Naseeruddin Shah,Adventure Drama Fantasy,valley of flowers,"Milind Soman Mylène Jampanoï Naseeruddin Shah Pan Nalin Adventure, Drama, Fantasy"
Bhalji Pendharkar,Shanta Apte,Pratima Devi,Vinay Kale,Drama,valmiki,Shanta Apte Pratima Devi Vinay Kale Bhalji Pendharkar Drama
Gopal B.,Ali,Mahesh Babu,Tanikella Bharani,Action,vamsee,Ali Mahesh Babu Tanikella Bharani Gopal B. Action
Narendra Suri,Parikshit Sahni,Sadhana,Bindu,Family,vandana,Parikshit Sahni Sadhana Bindu Narendra Suri Family
Pawan Kumar Sharma,Dhirendra Thakur,Aditya Srivastav,Yashpal Sharma,Drama,vanrakshak,Dhirendra Thakur Aditya Srivastav Yashpal Sharma Pawan Kumar Sharma Drama
Pappu Verma,Ajit Sinha,Sudesh Berry,Anupam Kher,Action Crime Drama,vansh,"Ajit Sinha Sudesh Berry Anupam Kher Pappu Verma Action, Crime, Drama"
Arun Bhatt,Vinod Mehra,Reena Roy,Narendra Nath,Drama,vardaan,Vinod Mehra Reena Roy Narendra Nath Arun Bhatt Drama
Umesh Mehra,Sunny Deol,Jackie Shroff,Kimi Katkar,Action Crime Drama,vardi,"Sunny Deol Jackie Shroff Kimi Katkar Umesh Mehra Action, Crime, Drama"
Nagulan Ponnusamy,Riyaz Khan,Kanchana Mendis,Nassar,Action,varnajalam,Riyaz Khan Kanchana Mendis Nassar Nagulan Ponnusamy Action
Rita Bhaduri,Gajendra Chauhan,Mehmood Jr.,Rajesh Puri,Action,vasna,Gajendra Chauhan Mehmood Jr. Rajesh Puri Rita Bhaduri Action
Sanjay Khandelwal,Kumaar Aadarsh,Sudesh Berry,Diveyaa Dwivedi,Thriller,vatsyayana kamasutra,Kumaar Aadarsh Sudesh Berry Diveyaa Dwivedi Sanjay Khandelwal Thriller
R. Krishnamurthy,Kamal Haasan,Sridevi,Sripriya,Drama Romance,vazhve mayam,"Kamal Haasan Sridevi Sripriya R. Krishnamurthy Drama, Romance"
Prabhu Deva,Sophiya Chaudhary,Poonam Kaur,Cell Murugan,Action Thriller,vedi,"Sophiya Chaudhary Poonam Kaur Cell Murugan Prabhu Deva Action, Thriller"
Kanti Shah,Ishrat Ali,Dharmendra,Gautami,Action,veer,Ishrat Ali Dharmendra Gautami Kanti Shah Action
Anil Sharma,Salman Khan,Jackie Shroff,Mithun Chakraborty,Action Adventure Drama,veer,"Salman Khan Jackie Shroff Mithun Chakraborty Anil Sharma Action, Adventure, Drama"
Radhakant,Jeevan,Kamal Kapoor,Dev Kumar,Action Biography Drama,veer amarsingh rathod,"Jeevan Kamal Kapoor Dev Kumar Radhakant Action, Biography, Drama"
Hunsur Krishnamurthy,Jaymala Adarsh,Saroja Devi B.,Kanchana,Drama,veer arjun,Jaymala Adarsh Saroja Devi B. Kanchana Hunsur Krishnamurthy Drama
Sushil Vyas,Dara Singh,Anjana Mumtaz,Arvind Kumar,Adventure Fantasy,veer bhimsen,"Dara Singh Anjana Mumtaz Arvind Kumar Sushil Vyas Adventure, Fantasy"
Nanabhai Bhatt,Amarnath,Shree Bhagwan,Sona Chatterjee,Action Adventure Drama,veer ghatotkach,"Amarnath Shree Bhagwan Sona Chatterjee Nanabhai Bhatt Action, Adventure, Drama"
Shantilal Soni,Chandgiram,Mahipal,Laxmi Chhaya,Adventure,veer ghatotkach,Chandgiram Mahipal Laxmi Chhaya Shantilal Soni Adventure
Kishore Sahu,Kishore Sahu,Durga Khote,Mubarak,Adventure,veer kunal,Kishore Sahu Durga Khote Mubarak Kishore Sahu Adventure
Ved Rahi,Shailendra Gaur,Pankaj Berry,Tom Alter,Biography Drama,veer savarkar,"Shailendra Gaur Pankaj Berry Tom Alter Ved Rahi Biography, Drama"
Rakesh Prasad,Mugdha Chaphekar,Gaurav Gautam,Anup Shukla,Animation Action Drama,veer yodha prithviraj chauhan,"Mugdha Chaphekar Gaurav Gautam Anup Shukla Rakesh Prasad Animation, Action, Drama"
Suresh Krishna,Rajinikanth,Meena,Roja,Comedy Romance,veera,"Rajinikanth Meena Roja Suresh Krishna Comedy, Romance"
Sudeep,Sudeep,Devaraj,Ragini Dwivedi,Action,veera madakari,Sudeep Devaraj Ragini Dwivedi Sudeep Action
S. Narayan,Ambarish,Sudeep,Aindrita Ray,Drama Family,veera parampare,"Ambarish Sudeep Aindrita Ray S. Narayan Drama, Family"
Jayaraaj,Kunal Kapoor,Himarsha Venkatsamy,Aaran,Action Drama History,veeram,"Kunal Kapoor Himarsha Venkatsamy Aaran Jayaraaj Action, Drama, History"
Shyam Ramsay,Tulsi Ramsay,Jasmin,Hemant Birje,Action Drama Horror,veerana,"Tulsi Ramsay Jasmin Hemant Birje Shyam Ramsay Action, Drama, Horror"
Ram Gopal Varma,Sachiin Joshi,Sandeep Bharadwaj,Usha Jadhav,Action Biography Crime,veerappan,"Sachiin Joshi Sandeep Bharadwaj Usha Jadhav Ram Gopal Varma Action, Biography, Crime"
Shashanka Ghosh,Kareena Kapoor,Sonam Kapoor,Neena Gupta,Comedy,veere di wedding,Kareena Kapoor Sonam Kapoor Neena Gupta Shashanka Ghosh Comedy
Ashu Trikha,Pulkit Samrat,Jimmy Sheirgill,Kriti Kharbanda,Comedy Romance,veerey ki wedding,"Pulkit Samrat Jimmy Sheirgill Kriti Kharbanda Ashu Trikha Comedy, Romance"
K.K. Singh,Salman Khan,Atul Agnihotri,Sudesh Berry,Action Drama,veergati,"Salman Khan Atul Agnihotri Sudesh Berry K.K. Singh Action, Drama"
Raju Desai,Vishal Desai,Aditi Bhaskar,Nikhil Chavan,Action,veergati,Vishal Desai Aditi Bhaskar Nikhil Chavan Raju Desai Action
Shibu Mitra,Sunny Deol,Jaya Prada,Shakti Kapoor,Action,veerta,Sunny Deol Jaya Prada Shakti Kapoor Shibu Mitra Action
K.R. Reddy,Dharmendra,Amrita Singh,Aditya Pancholi,Action Adventure Drama,veeru dada,"Dharmendra Amrita Singh Aditya Pancholi K.R. Reddy Action, Adventure, Drama"
Jagdish Nirula,Aruna Irani,Shakti Kapoor,Satish Kaul,Drama,veeru ustaad,Aruna Irani Shakti Kapoor Satish Kaul Jagdish Nirula Drama
Yash Chopra,Shah Rukh Khan,Preity Zinta,Rani Mukerji,Drama Family Musical,veer-zaara,"Shah Rukh Khan Preity Zinta Rani Mukerji Yash Chopra Drama, Family, Musical"
Bijukumar Damodaran,Prithviraj Sukumaran,Indrajith Sukumaran,Govardhan B.K,Drama Family,veettilekkulla vazhi,"Prithviraj Sukumaran Indrajith Sukumaran Govardhan B.K Bijukumar Damodaran Drama, Family"
R.N.R. Manohar,Shamna Kasim,G.M. Kumar,Mayilsamy,Action,vellore maavattam,Shamna Kasim G.M. Kumar Mayilsamy R.N.R. Manohar Action
Prathap Pothen,Kamal Haasan,Prabhu,Amala Akkineni,Action Drama Mystery,vetri vizha,"Kamal Haasan Prabhu Amala Akkineni Prathap Pothen Action, Drama, Mystery"
Arindam Nandy,Kay Kay Menon,Sonali Kulkarni,Parvin Dabas,Drama Mystery Thriller,via darjeeling,"Kay Kay Menon Sonali Kulkarni Parvin Dabas Arindam Nandy Drama, Mystery, Thriller"
Gurinder Chadha,Hugh Bonneville,Gillian Anderson,Manish Dayal,Biography Drama History,viceroy's house,"Hugh Bonneville Gillian Anderson Manish Dayal Gurinder Chadha Biography, Drama, History"
Kodanda Rami Reddy A.,Nagarjuna Akkineni,Juhi Chawla,Radha,Action Crime,vicky dada,"Nagarjuna Akkineni Juhi Chawla Radha Kodanda Rami Reddy A. Action, Crime"
Shoojit Sircar,Ayushmann Khurrana,Yami Gautam,Annu Kapoor,Comedy Romance,vicky donor,"Ayushmann Khurrana Yami Gautam Annu Kapoor Shoojit Sircar Comedy, Romance"
Brij,Ashok Kumar,Pran,Navin Nischol,Action Comedy Crime,victoria no. 203,"Ashok Kumar Pran Navin Nischol Brij Action, Comedy, Crime"
Ananth Narayan Mahadevan,Anupam Kher,Om Puri,Jimmy Sheirgill,Comedy Crime Mystery,victoria no. 203: diamonds are forever,"Anupam Kher Om Puri Jimmy Sheirgill Ananth Narayan Mahadevan Comedy, Crime, Mystery"
Nicolas Chevaillier,Kev Clinsc,Nicolas Chevaillier,Shoaib Lokhandwala,Comedy Drama Thriller,victor's history,"Kev Clinsc Nicolas Chevaillier Shoaib Lokhandwala Nicolas Chevaillier Comedy, Drama, Thriller"
Ajit Pal Mangat,Harman Baweja,Allan Border,Mike Hussey,Drama Sport,victory,"Harman Baweja Allan Border Mike Hussey Ajit Pal Mangat Drama, Sport"
Avtar Bhogal,Mahendra Sandhu,Shoma Anand,Prem Krishan,Action Crime Drama,videsh,"Mahendra Sandhu Shoma Anand Prem Krishan Avtar Bhogal Action, Crime, Drama"
Subhash Ghai,Tom Alter,Harbans Darshan M. Arora,Birbal,Action Drama,vidhaata,"Tom Alter Harbans Darshan M. Arora Birbal Subhash Ghai Action, Drama"
Rakesh Kakaria,Chand Mehta,Vikram Aditya,Akash Ajmera,Action,vidhyaarthi: the power of students,Chand Mehta Vikram Aditya Akash Ajmera Rakesh Kakaria Action
Harmesh Malhotra,Brahm Bhardwaj,Poonam Dhillon,Iftekhar,Action,vidrohi,Brahm Bhardwaj Poonam Dhillon Iftekhar Harmesh Malhotra Action
K. Vijayan,Shivaji Ganesan,Rajinikanth,Vishnuvardhan,Action,viduthalai,Shivaji Ganesan Rajinikanth Vishnuvardhan K. Vijayan Action
Girish Trivedi,Suraiya,Dev Anand,Madan Puri,Drama Romance,vidya,"Suraiya Dev Anand Madan Puri Girish Trivedi Drama, Romance"
Rituparno Ghosh,Jackie Shroff,Abhishek Bachchan,Roopa Ganguly,Drama,views of the inner chamber,Jackie Shroff Abhishek Bachchan Roopa Ganguly Rituparno Ghosh Drama
Umesh Vinayak Kulkarni,Mohan Agashe,Madan Deodhar,Girish Kulkarni,Drama,vihir,Mohan Agashe Madan Deodhar Girish Kulkarni Umesh Vinayak Kulkarni Drama
Yash Chopra,Anil Kapoor,Rajesh Khanna,Rishi Kapoor,Action Drama Romance,vijay,"Anil Kapoor Rajesh Khanna Rishi Kapoor Yash Chopra Action, Drama, Romance"
Farogh Siddique,Ajay Devgn,Tabu,Suresh Oberoi,Action Drama Romance,vijaypath,"Ajay Devgn Tabu Suresh Oberoi Farogh Siddique Action, Drama, Romance"
Govind Nihalani,Shashi Kapoor,Rekha,Supriya Pathak,Drama,vijeta,Shashi Kapoor Rekha Supriya Pathak Govind Nihalani Drama
K. Muralimohana Rao,Sanjay Dutt,Raveena Tandon,Paresh Rawal,Action,vijeta,Sanjay Dutt Raveena Tandon Paresh Rawal K. Muralimohana Rao Action
Sachin P. Karande,Pankaj Berry,Kranti Prakash Jha,Abhay Joshi,Crime Drama Mystery,vikalp,"Pankaj Berry Kranti Prakash Jha Abhay Joshi Sachin P. Karande Crime, Drama, Mystery"
Rajasekar,Kamal Haasan,Sathyaraj,Ambika,Action Adventure Sci-Fi,vikram,"Kamal Haasan Sathyaraj Ambika Rajasekar Action, Adventure, Sci-Fi"
V. Madhusudan Rao,Nagarjuna Akkineni,Shobana,Annapoorna,Action Drama Romance,vikram,"Nagarjuna Akkineni Shobana Annapoorna V. Madhusudan Rao Action, Drama, Romance"
Nagarjuna Akkineni,Gautami,Girish Karnad,Raghuvaran,Action,vikram,Gautami Girish Karnad Raghuvaran Nagarjuna Akkineni Action
Shantilal Soni,Rajni Bala,Deepika Chikhalia,Manher Desai,Fantasy,vikram vetal,Rajni Bala Deepika Chikhalia Manher Desai Shantilal Soni Fantasy
Prabhu Deva,Joseph Vijay,Nayanthara,Prakash Raj,Action Thriller,villu,"Joseph Vijay Nayanthara Prakash Raj Prabhu Deva Action, Thriller"
Sunder Pal,Ambika Kamal,Manish Kumar,Navpreet Moti,Drama,vilom,Ambika Kamal Manish Kumar Navpreet Moti Sunder Pal Drama
Rakesh Sawant,Ruby Ahmed,Jai Akash,Rishabh Jain,Horror,vinash kaal,Ruby Ahmed Jai Akash Rishabh Jain Rakesh Sawant Horror
Ravi Dewan,Sunil Shetty,Raveena Tandon,Danny Denzongpa,Action Crime Drama,vinashak - destroyer,"Sunil Shetty Raveena Tandon Danny Denzongpa Ravi Dewan Action, Crime, Drama"
Ziaullah Khan,Narendra Jha,Monika Ravan,Urmila Mahanta,Drama,viraam,Narendra Jha Monika Ravan Urmila Mahanta Ziaullah Khan Drama
Narendra Singh,Kritika Sachdeva,Ravi Jhanghu,Lokesh Tilakdhari,Crime,viraat,Kritika Sachdeva Ravi Jhanghu Lokesh Tilakdhari Narendra Singh Crime
Priyadarshan,Anil Kapoor,Tabu,Pooja Batra,Drama Family Musical,virasat,"Anil Kapoor Tabu Pooja Batra Priyadarshan Drama, Family, Musical"
Ajay Lohan,Urvashi Rautela,Gautam Gulati,Rumana Molla,Comedy Drama,virgin bhanupriya,"Urvashi Rautela Gautam Gulati Rumana Molla Ajay Lohan Comedy, Drama"
Rajkumar Kohli,Arman Kohli,Harsha Mehra,Dharmendra,Drama,virodhi,Arman Kohli Harsha Mehra Dharmendra Rajkumar Kohli Drama
Mahesh Manjrekar,Amitabh Bachchan,Sharmila Tagore,John Abraham,Drama Family,viruddh... family comes first,"Amitabh Bachchan Sharmila Tagore John Abraham Mahesh Manjrekar Drama, Family"
Vara Mullapoodi,Rajeev Kanakala,Preeti Jhangiani,Allari Naresh,Action Crime Drama,visakha express,"Rajeev Kanakala Preeti Jhangiani Allari Naresh Vara Mullapoodi Action, Crime, Drama"
Jag Mundhra,Kunal Goswami,Pooja Bedi,Kabir Bedi,Action,vishkanya,Kunal Goswami Pooja Bedi Kabir Bedi Jag Mundhra Action
K. Pappu,Sunny Deol,Aditya Pancholi,Neelam Kothari,Action Crime Drama,vishnu-devaa,"Sunny Deol Aditya Pancholi Neelam Kothari K. Pappu Action, Crime, Drama"
Pon Kumaran,Sudeep,Bhavana,Priyamani,Action Comedy Thriller,vishnuvardhana,"Sudeep Bhavana Priyamani Pon Kumaran Action, Comedy, Thriller"
Subhash Ghai,Shatrughan Sinha,Reena Roy,Pran,Action Mystery Thriller,vishwanath,"Shatrughan Sinha Reena Roy Pran Subhash Ghai Action, Mystery, Thriller"
Kamal Haasan,Pooja Kumar,Miles Anderson,Kamal Haasan,Action Thriller,vishwaroopam,"Pooja Kumar Miles Anderson Kamal Haasan Kamal Haasan Action, Thriller"
Kamal Haasan,Kamal Haasan,Rahul Bose,Shekhar Kapur,Action Thriller,vishwaroopam 2,"Kamal Haasan Rahul Bose Shekhar Kapur Kamal Haasan Action, Thriller"
Keval P. Kashyap,Jeetendra,Aparna Sen,Bharat Bhushan,Comedy Drama Romance,vishwas,"Jeetendra Aparna Sen Bharat Bhushan Keval P. Kashyap Comedy, Drama, Romance"
Mahesh Bhatt,Sanjeev Kumar,Kabir Bedi,Shabana Azmi,Action Crime Drama,vishwasghaat,"Sanjeev Kumar Kabir Bedi Shabana Azmi Mahesh Bhatt Action, Crime, Drama"
Himanshu Brahmbhatt,Sunil Shetty,Anjali Jathar,Anupam Kher,Action,vishwasghaat,Sunil Shetty Anjali Jathar Anupam Kher Himanshu Brahmbhatt Action
Rajiv Rai,Naseeruddin Shah,Sunny Deol,Chunky Panday,Action Drama Thriller,vishwatma,"Naseeruddin Shah Sunny Deol Chunky Panday Rajiv Rai Action, Drama, Thriller"
Farogh Siddique,Jackie Shroff,Ayesha Jhulka,Sharad S. Kapoor,Action,vishwavidhaata,Jackie Shroff Ayesha Jhulka Sharad S. Kapoor Farogh Siddique Action
Sooraj R. Barjatya,Shahid Kapoor,Amrita Rao,Anupam Kher,Drama Musical Romance,vivah,"Shahid Kapoor Amrita Rao Anupam Kher Sooraj R. Barjatya Drama, Musical, Romance"
G.V. Iyer,Sarvadaman Banerjee,Mithun Chakraborty,Rakhee Gulzar,Biography Drama,vivekananda,"Sarvadaman Banerjee Mithun Chakraborty Rakhee Gulzar G.V. Iyer Biography, Drama"
Kushal Srivastava,Kay Kay Menon,Raima Sen,Mandira Bedi,Mystery Thriller,vodka diaries,"Kay Kay Menon Raima Sen Mandira Bedi Kushal Srivastava Mystery, Thriller"
Savin Tuscano,Raj Singh Arora,Gaurav Bajaj,Kalpana Bora,Action Comedy Crime,vroom,"Raj Singh Arora Gaurav Bajaj Kalpana Bora Savin Tuscano Action, Comedy, Crime"
Tarun Madan Chopra,Leeza Mangaldas,Lezlie Tripathy,Sonal Giani,Crime Musical Thriller,w,"Leeza Mangaldas Lezlie Tripathy Sonal Giani Tarun Madan Chopra Crime, Musical, Thriller"
Manoj Agrawal,Govinda,Raveena Tandon,Preeti Jhangiani,Action Comedy Crime,waah! tera kya kehna,"Govinda Raveena Tandon Preeti Jhangiani Manoj Agrawal Action, Comedy, Crime"
Surendra Mohan,Rajesh Khanna,Nalini Jaywant,Heena Kausar,Mystery,waapsi,Rajesh Khanna Nalini Jaywant Heena Kausar Surendra Mohan Mystery
Ravindra Peepat,Smita Patil,Amrita Singh,Raj Babbar,Drama,waaris,Smita Patil Amrita Singh Raj Babbar Ravindra Peepat Drama
Ramanna,Sanjay Khan,Rakhee Gulzar,Heena Kausar,Action Crime Drama,wafaa,"Sanjay Khan Rakhee Gulzar Heena Kausar Ramanna Action, Crime, Drama"
Rakesh Sawant,Rajesh Khanna,Shahib Chopra,Laila Khan,Drama Mystery Romance,wafaa,"Rajesh Khanna Shahib Chopra Laila Khan Rakesh Sawant Drama, Mystery, Romance"
Narayana Rao Dasari,Pilla Srinivas,Rajinikanth,Padmini Kolhapure,Comedy Drama,wafadaar,"Pilla Srinivas Rajinikanth Padmini Kolhapure Narayana Rao Dasari Comedy, Drama"
Ajit Sinha,Shreyas Talpade,Manjari Fadnnis,Amitabh Bachchan,Drama,wah taj,Shreyas Talpade Manjari Fadnnis Amitabh Bachchan Ajit Sinha Drama
Nisar Ahmad Ansari,Pradeep Kumar,Tanuja,Nilofar,Action Adventure Drama,wahan ke log,"Pradeep Kumar Tanuja Nilofar Nisar Ahmad Ansari Action, Adventure, Drama"
Desh Gautam,Padma Khanna,Arvind Kirad,Ravindra Mahajani,Thriller,wahem,Padma Khanna Arvind Kirad Ravindra Mahajani Desh Gautam Thriller
Anu Menon,Naseeruddin Shah,Kalki Koechlin,Jennifer Antony,Comedy Drama,waiting,"Naseeruddin Shah Kalki Koechlin Jennifer Antony Anu Menon Comedy, Drama"
Vishal Pandya,Sharman Joshi,Sana Khaan,Gurmeet Choudhary,Drama Mystery Romance,wajah tum ho,"Sharman Joshi Sana Khaan Gurmeet Choudhary Vishal Pandya Drama, Mystery, Romance"
Gautam Adhikari,Arbaaz Khan,Gracy Singh,Shamita Shetty,Thriller,wajahh: a reason to kill,Arbaaz Khan Gracy Singh Shamita Shetty Gautam Adhikari Thriller
N. Chandra,Nana Patekar,Madhuri Dixit,Mukul Dev,Action Crime Drama,wajood,"Nana Patekar Madhuri Dixit Mukul Dev N. Chandra Action, Crime, Drama"
Babloo Seshadri,Elisha Kriis,Asrani,Milind Gunaji,Drama,wake up india,Elisha Kriis Asrani Milind Gunaji Babloo Seshadri Drama
Ayan Mukherjee,Ranbir Kapoor,Konkona Sen Sharma,Supriya Pathak,Comedy Drama Romance,wake up sid,"Ranbir Kapoor Konkona Sen Sharma Supriya Pathak Ayan Mukherjee Comedy, Drama, Romance"
Praveen Morchhale,Ajay Chourey,Rigzin Dolkar,Phuntsog Dolma,Drama,walking with the wind,Ajay Chourey Rigzin Dolkar Phuntsog Dolma Praveen Morchhale Drama
Raman B. Desai,Nirupa Roy,Trilok Kapoor,D.K. Sapru,Musical,waman avtar,Nirupa Roy Trilok Kapoor D.K. Sapru Raman B. Desai Musical
