director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Gaurav Bakshi,Rasika Dugal,Vivek Ghamande,Arvind Jangid,Drama,gadhvi (he thought he was gandhi),Rasika Dugal Vivek Ghamande Arvind Jangid Gaurav Bakshi Drama
Ovais Khan,Prateik,Ishita Raj,Siddhant Kapoor,Comedy Romance,yaaram,"Prateik Ishita Raj Siddhant Kapoor Ovais Khan Comedy, Romance"
Rahul Rawail,Bobby Deol,Aishwarya Rai Bachchan,Shammi Kapoor,Comedy Drama Musical,aur pyaar ho gaya,"Bobby Deol Aishwarya Rai Bachchan Shammi Kapoor Rahul Rawail Comedy, Drama, Musical"
Shoojit Sircar,Jimmy Sheirgill,Minissha Lamba,Yashpal Sharma,Drama Romance War,yahaan,"Jimmy Sheirgill Minissha Lamba Yashpal Sharma Shoojit Sircar Drama, Romance, War"
Allyson Patel,Yash Dave,Muntazir Ahmad,Kiran Bhatia,Horror Mystery Thriller,?: a question mark,"Yash Dave Muntazir Ahmad Kiran Bhatia Allyson Patel Horror, Mystery, Thriller"
Biju Bhaskar Nair,Augustine,Fathima Babu,Byon,Action Crime Thriller,andheri,"Augustine Fathima Babu Byon Biju Bhaskar Nair Action, Crime, Thriller"
Madhu Ambat,Rati Agnihotri,Gulshan Grover,Atul Kulkarni,Drama,1:1.6 an ode to lost love,Rati Agnihotri Gulshan Grover Atul Kulkarni Madhu Ambat Drama
Arshad Siddiqui,Pankaj Berry,Anubhav Dhir,Hritu Dudani,Horror,1:13:7 ek tera saath,Pankaj Berry Anubhav Dhir Hritu Dudani Arshad Siddiqui Horror
Partho Ghosh,Jackie Shroff,Madhuri Dixit,Javed Jaffrey,Horror Romance Thriller,100 days,"Jackie Shroff Madhuri Dixit Javed Jaffrey Partho Ghosh Horror, Romance, Thriller"
Rabi Kinagi,Jeet,Koyel Mallick,Sujoy Ghosh,Comedy Drama Romance,100% love,"Jeet Koyel Mallick Sujoy Ghosh Rabi Kinagi Comedy, Drama, Romance"
Umesh Shukla,Amitabh Bachchan,Rishi Kapoor,Vijay Raaz,Comedy Drama,102 not out,"Amitabh Bachchan Rishi Kapoor Vijay Raaz Umesh Shukla Comedy, Drama"
Sharat Katariya,Neil Bhoopalam,Anusha Bose,Manu Rishi Chadha,Comedy Drama Romance,10ml love,"Neil Bhoopalam Anusha Bose Manu Rishi Chadha Sharat Katariya Comedy, Drama, Romance"
Pramod Chakravorty,Guru Dutt,Waheeda Rehman,Shashikala,Crime Drama Mystery,12 o'clock,"Guru Dutt Waheeda Rehman Shashikala Pramod Chakravorty Crime, Drama, Mystery"
Ram Gopal Varma,Mithun Chakraborty,Makrand Deshpande,Dalip Tahil,Horror Thriller,12 o'clock,"Mithun Chakraborty Makrand Deshpande Dalip Tahil Ram Gopal Varma Horror, Thriller"
Seshu Kmr,Mast Ali,Aziz Naser,Heena Shaik,Comedy Horror,127 b,"Mast Ali Aziz Naser Heena Shaik Seshu Kmr Comedy, Horror"
Vikram K. Kumar,Madhavan,Neetu Chandra,Poonam Dhillon,Drama Horror Mystery,13b: fear has a new address,"Madhavan Neetu Chandra Poonam Dhillon Vikram K. Kumar Drama, Horror, Mystery"
Aparna Sen,Shabana Azmi,Konkona Sen Sharma,Rahul Bose,Drama,15 park avenue,Shabana Azmi Konkona Sen Sharma Rahul Bose Aparna Sen Drama
Vicky Ranawat,Ronit Roy,Tisca Chopra,Shakti Kapoor,Drama,15th august,Ronit Roy Tisca Chopra Shakti Kapoor Vicky Ranawat Drama
Mani Shankar,Milind Soman,Danny Denzongpa,Gulshan Grover,Action Thriller,16-dec,"Milind Soman Danny Denzongpa Gulshan Grover Mani Shankar Action, Thriller"
Mohibul Haque,Rehal Khan,Gulshan Grover,Mukesh Tiwari,Action,18.11,Rehal Khan Gulshan Grover Mukesh Tiwari Mohibul Haque Action
Mohan Sinha,Nigar Sultana,Suraiya,Menaka Devi,Drama History,1857,"Nigar Sultana Suraiya Menaka Devi Mohan Sinha Drama, History"
Sridhar Reddy,Tarun Arora,Gulshan Grover,Vinay Pandey,Drama,19 revolutions,Tarun Arora Gulshan Grover Vinay Pandey Sridhar Reddy Drama
Vikram Bhatt,Rajniesh Duggall,Adah Sharma,Anjori Alagh,Horror Mystery Romance,1920,"Rajniesh Duggall Adah Sharma Anjori Alagh Vikram Bhatt Horror, Mystery, Romance"
Dharmendra Suresh Desai,Sharman Joshi,Meera Chopra,Vishal Karwal,Horror Mystery,1920 london,"Sharman Joshi Meera Chopra Vishal Karwal Dharmendra Suresh Desai Horror, Mystery"
Bhushan Patel,Vicky Ahuja,Tia Bajpai,Tarakesh Chauhan,Drama Horror Romance,1920: evil returns,"Vicky Ahuja Tia Bajpai Tarakesh Chauhan Bhushan Patel Drama, Horror, Romance"
Vikram Bhatt,Zareen Khan,Karan Kundra,Vikram Bhatt,Horror Mystery Romance,1921,"Zareen Khan Karan Kundra Vikram Bhatt Vikram Bhatt Horror, Mystery, Romance"
Vidhu Vinod Chopra,Anil Kapoor,Jackie Shroff,Manisha Koirala,Action Drama History,1942: a love story,"Anil Kapoor Jackie Shroff Manisha Koirala Vidhu Vinod Chopra Action, Drama, History"
Amrit Sagar,Manoj Bajpayee,Ravi Kishan,Deepak Dobriyal,Action Drama War,1971,"Manoj Bajpayee Ravi Kishan Deepak Dobriyal Amrit Sagar Action, Drama, War"
Aziz Zee,Abuzar Akhtar,Apurva Godbole,Vaishnavi Kadam,Thriller,1978: a teen night out,Abuzar Akhtar Apurva Godbole Vaishnavi Kadam Aziz Zee Thriller
Prashant Gore,Amitkumar Sharma,Omna,Rita Agarwal,Comedy,1982 - a love marriage,Amitkumar Sharma Omna Rita Agarwal Prashant Gore Comedy
Sanjay Amar,Mumtaz Ahmed,Bidita Bag,Madhuri Bhatia,Drama,19th january,Mumtaz Ahmed Bidita Bag Madhuri Bhatia Sanjay Amar Drama
Ravi Bhatia,Ravi Bhatia,Ronak Bhatia,Kamal Chopra,Comedy Family,2 little indians,"Ravi Bhatia Ronak Bhatia Kamal Chopra Ravi Bhatia Comedy, Family"
Harish Sharma,Hemant Pandey,Sumeet Sharma,Sumeet Sharma,Adventure Horror Mystery,2 nights in soul valley,"Hemant Pandey Sumeet Sharma Sumeet Sharma Harish Sharma Adventure, Horror, Mystery"
Sunil Tiwari,Ashutosh Rana,Rocky Verma,Saadhika,Action Crime Thriller,02-oct,"Ashutosh Rana Rocky Verma Saadhika Sunil Tiwari Action, Crime, Thriller"
Abhishek Varman,Arjun Kapoor,Alia Bhatt,Amrita Singh,Comedy Drama Romance,2 states,"Arjun Kapoor Alia Bhatt Amrita Singh Abhishek Varman Comedy, Drama, Romance"
S. Shankar,Rajinikanth,Akshay Kumar,Amy Jackson,Action Sci-Fi,2,"Rajinikanth Akshay Kumar Amy Jackson S. Shankar Action, Sci-Fi"
Raj N. Sippy,Jackie Shroff,Dimple Kapadia,Tabu,Crime Mystery Thriller,2001: do hazaar ek,"Jackie Shroff Dimple Kapadia Tabu Raj N. Sippy Crime, Mystery, Thriller"
Jaideep Chopra,Divyendu Sharma,Kiku Sharda,Harshad Chopda,Comedy,2016 the end,Divyendu Sharma Kiku Sharda Harshad Chopda Jaideep Chopra Comedy
Shivam Tiwari,Rahul Dev,Shivam Tiwari,Sophia Singh,Thriller,22 days,Rahul Dev Shivam Tiwari Sophia Singh Shivam Tiwari Thriller
Jayoo Patwardhan,Nachiket Patwardhan,Sadashiv Amrapurkar,Udayan Dixit,Drama History,22 june 1897,"Nachiket Patwardhan Sadashiv Amrapurkar Udayan Dixit Jayoo Patwardhan Drama, History"
Mitali Ghoshal,Barun Sobti,Amartya Ray,Rajit Kapoor,Sport,22 yards,Barun Sobti Amartya Ray Rajit Kapoor Mitali Ghoshal Sport
Guddu Dhanoa,Bobby Deol,Sunny Deol,Amrita Singh,Biography Drama History,23rd march 1931: shaheed,"Bobby Deol Sunny Deol Amrita Singh Guddu Dhanoa Biography, Drama, History"
Mohan Sharma,Ajita,Himani Chawla,Sumeet Chawla,Drama,26th july at barista,Ajita Himani Chawla Sumeet Chawla Mohan Sharma Drama
Awtar Krishna Kaul,Sudhir Dalvi,Rakhee Gulzar,Sadhu Meher,Drama,27 down,Sudhir Dalvi Rakhee Gulzar Sadhu Meher Awtar Krishna Kaul Drama
Vishal Mahadkar,Salil Acharya,Kavin Dave,Jason Matthew Ethier,Horror Romance,3 am: a paranormal experience,"Salil Acharya Kavin Dave Jason Matthew Ethier Vishal Mahadkar Horror, Romance"
Ajai Sinha,Sharman Joshi,Negar Khan,Nigaar Khan,Comedy Romance,3 bachelors,"Sharman Joshi Negar Khan Nigaar Khan Ajai Sinha Comedy, Romance"
Nagesh Kukunoor,Naseeruddin Shah,Jackie Shroff,Juhi Chawla,Crime Drama,3 deewarein,"Naseeruddin Shah Jackie Shroff Juhi Chawla Nagesh Kukunoor Crime, Drama"
Ankush Bhatt,Karan Singh Grover,Ravi Dubey,Kunaal Roy Kapur,Comedy,3 dev,Karan Singh Grover Ravi Dubey Kunaal Roy Kapur Ankush Bhatt Comedy
Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh,Comedy Drama,3 idiots,"Aamir Khan Madhavan Mona Singh Rajkumar Hirani Comedy, Drama"
Devang Dholakia,Sameer Aftab,Hrishitaa Bhatt,Anuj Sahani,Drama Romance,3 nights 4 days,"Sameer Aftab Hrishitaa Bhatt Anuj Sahani Devang Dholakia Drama, Romance"
Arjun Mukerjee,Aisha Ahmed,Tarun Anand,Richa Chadha,Drama,3 storeys,Aisha Ahmed Tarun Anand Richa Chadha Arjun Mukerjee Drama
Divakar Ghodake,Seema Azmi,Meenal Chirankar,Pooja Kasekar,Adventure Drama,3.0 megapixel,"Seema Azmi Meenal Chirankar Pooja Kasekar Divakar Ghodake Adventure, Drama"
Ravi Sinha,Abhay Bhargava,Milind Gunaji,Dinesh Hingoo,Horror,30 days,Abhay Bhargava Milind Gunaji Dinesh Hingoo Ravi Sinha Horror
Yesudas,Rana Jung Bahadur,Hrishitaa Bhatt,Shiva Kumar,Thriller,30 minutes,Rana Jung Bahadur Hrishitaa Bhatt Shiva Kumar Yesudas Thriller
Shivaji Lotan Patil,Soha Ali Khan,Lakha Lakhwinder Singh,Nagesh Bhonsle,Action Drama History,31st october,"Soha Ali Khan Lakha Lakhwinder Singh Nagesh Bhonsle Shivaji Lotan Patil Action, Drama, History"
Suryaprakash Lakkoju,Ragesh Asthana,Iqbal Azad,Ahsaas Channa,Thriller,340,Ragesh Asthana Iqbal Azad Ahsaas Channa Suryaprakash Lakkoju Thriller
Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Akshaye Khanna,Kareena Kapoor,Comedy Mystery Thriller,36 china town,"Mastan Alibhai Burmawalla Akshaye Khanna Kareena Kapoor Abbas Alibhai Burmawalla Comedy, Mystery, Thriller"
Aparna Sen,Jennifer Kendal,Dhritiman Chatterjee,Debashree Roy,Drama Romance,36 chowringhee lane,"Jennifer Kendal Dhritiman Chatterjee Debashree Roy Aparna Sen Drama, Romance"
Raj Tilak,Raaj Kumar,Mala Sinha,Sunil Dutt,Action Crime Drama,36 ghante,"Raaj Kumar Mala Sinha Sunil Dutt Raj Tilak Action, Crime, Drama"
Gunveen Kaur,Robin Sikarwar,Vivek Kumar,Deeksha Joshi,Crime Thriller,376 d,"Robin Sikarwar Vivek Kumar Deeksha Joshi Gunveen Kaur Crime, Thriller"
Faruk Kabir,Muntazir Ahmad,Shashank Arora,Mohd. Zeeshan Ayyub,Drama,377 abnormal,Muntazir Ahmad Shashank Arora Mohd. Zeeshan Ayyub Faruk Kabir Drama
Shyam Ramsay,Tulsi Ramsay,Rajan Sippy,Arti Gupta,Horror,3d saamri,Tulsi Ramsay Rajan Sippy Arti Gupta Shyam Ramsay Horror
Sheershak Anand,Shantanu Ray Chhibber,Neil Nitin Mukesh,Sonal Chauhan,Horror Sci-Fi Thriller,3g: a killer connection,"Shantanu Ray Chhibber Neil Nitin Mukesh Sonal Chauhan Sheershak Anand Horror, Sci-Fi, Thriller"
Sanjay Niranjan,Deepak Bhatia,Mukul Dev,Sakshi Dwivedi,Horror,3rd eye,Deepak Bhatia Mukul Dev Sakshi Dwivedi Sanjay Niranjan Horror
Prawaal Raman,Rajvvir Aroraa,Imaaduddin Shah,Nishikant Kamat,Drama Mystery Thriller,404: error not found,"Rajvvir Aroraa Imaaduddin Shah Nishikant Kamat Prawaal Raman Drama, Mystery, Thriller"
Mainak Dhar,Marilia Colturato,Kyara Jacob,Kyara Ralella Jacob,Drama,417 miles,Marilia Colturato Kyara Jacob Kyara Ralella Jacob Mainak Dhar Drama
Nisha Chainani,Mandira Bedi,Bikram Saluja,Sammir Dattani,Drama Sport,42 kms.,"Mandira Bedi Bikram Saluja Sammir Dattani Nisha Chainani Drama, Sport"
Suhaib Ilyasi,Srishti Gautam,Farida Jalal,Supriya Karnik,Drama Family Musical,498a-the wedding gift,"Srishti Gautam Farida Jalal Supriya Karnik Suhaib Ilyasi Drama, Family, Musical"
Faisal Saif,Nassar Abdulla,Shawar Ali,Rashid Khan,Thriller,5 ghantey mien 5 crore,Nassar Abdulla Shawar Ali Rashid Khan Faisal Saif Thriller
I.S. Johar,Rakesh Khanna,Rajesh Khanna,Ambika Johar,Action Comedy,5 rifles,"Rakesh Khanna Rajesh Khanna Ambika Johar I.S. Johar Action, Comedy"
Chandra Sekhar Yeleti,Pawan Malhotra,Mohit Chadha,Veerendra Chauhan,Comedy Thriller,50 lakh,"Pawan Malhotra Mohit Chadha Veerendra Chauhan Chandra Sekhar Yeleti Comedy, Thriller"
G. Venugopal,Akash,Avinash,Gagan,Action Adventure Fantasy,5ters: castle of dark master,"Akash Avinash Gagan G. Venugopal Action, Adventure, Fantasy"
Bharat Jain,Prashantt Guptha,Gaurav Paswala,Gaurav Kothari,Horror,6-5=2,Prashantt Guptha Gaurav Paswala Gaurav Kothari Bharat Jain Horror
Sridhar Rangayan,Mouli Ganguly,Joy Sengupta,Jayati Bhatia,Drama,68 pages,Mouli Ganguly Joy Sengupta Jayati Bhatia Sridhar Rangayan Drama
Ishaan Trivedi,Juhi Chawla,Irrfan Khan,Manoj Pahwa,Comedy Drama,7 1/2 phere: more than a wedding,"Juhi Chawla Irrfan Khan Manoj Pahwa Ishaan Trivedi Comedy, Drama"
Raju Saigal,Tina Ambani,Shoma Anand,Krishan Dhawan,Action,7 bijliyaan,Tina Ambani Shoma Anand Krishan Dhawan Raju Saigal Action
Sunil Kumar,Arvind Singh,Channa Ruparel,Avtar Gill,Action Drama,7 days,"Arvind Singh Channa Ruparel Avtar Gill Sunil Kumar Action, Drama"
Saurabh Varma,Sandeepa Dhar,Natasa Stankovic,Shiv Panditt,Crime Thriller,7 hours to go,"Sandeepa Dhar Natasa Stankovic Shiv Panditt Saurabh Varma Crime, Thriller"
Dutta Madhusree,Vibha Chhibber,Harish Khanna,Om Prakash,Documentary,7 islands and a metro,Vibha Chhibber Harish Khanna Om Prakash Dutta Madhusree Documentary
Vishal Bhardwaj,Priyanka Chopra Jonas,Vivaan Shah,Neil Nitin Mukesh,Drama Mystery Thriller,7 khoon maaf,"Priyanka Chopra Jonas Vivaan Shah Neil Nitin Mukesh Vishal Bhardwaj Drama, Mystery, Thriller"
S.U. Syed,Sharmila Tagore,Suresh Oberoi,Navin Nischol,Drama Horror Musical,7 saal baad,"Sharmila Tagore Suresh Oberoi Navin Nischol S.U. Syed Drama, Horror, Musical"
Shravankumar Tiwari,Mohan Agashe,Raayo S. Bakhirta,Divya Dutta,Thriller,706,Mohan Agashe Raayo S. Bakhirta Divya Dutta Shravankumar Tiwari Thriller
Avinash Dhyani,Avinash Dhyani,Yeshi Dema,Alka Amin,Action Biography Drama,72 hours: martyr who never died,"Avinash Dhyani Yeshi Dema Alka Amin Avinash Dhyani Action, Biography, Drama"
Nagesh Kukunoor,Akshay Kumar,Ayesha Takia,Javed Jaffrey,Action Fantasy Mystery,8 x 10 tasveer,"Akshay Kumar Ayesha Takia Javed Jaffrey Nagesh Kukunoor Action, Fantasy, Mystery"
Joe Eshwar,Ranji Vijayan,Kuriakose Oonnittan,Guy Bleyaert,Adventure Drama Mystery,8119 miles,"Ranji Vijayan Kuriakose Oonnittan Guy Bleyaert Joe Eshwar Adventure, Drama, Mystery"
Kushan Nandy,Atul Kulkarni,Rahul Dev,Suchitra Pillai,Mystery Thriller,88 antop hill,"Atul Kulkarni Rahul Dev Suchitra Pillai Kushan Nandy Mystery, Thriller"
Amrit Raj Thakur,Arun Bakshi,Ajeet Goswami,Rohit Rajawat,Action,9 o' clock,Arun Bakshi Ajeet Goswami Rohit Rajawat Amrit Raj Thakur Action
Krishna D.K.,Raj Nidimoru,Kunal Khemu,Boman Irani,Comedy Crime Drama,99,"Raj Nidimoru Kunal Khemu Boman Irani Krishna D.K. Comedy, Crime, Drama"
Vishwesh Krishnamoorthy,Ehan Bhat,Edilsy Vargas,Tenzing Dalha,Musical Romance,99 songs,"Ehan Bhat Edilsy Vargas Tenzing Dalha Vishwesh Krishnamoorthy Musical, Romance"
Sanjay Bhatia,Shawar Ali,Rajkumar Kanojia,Jai Nagra,Crime Drama,99.9 fm,"Shawar Ali Rajkumar Kanojia Jai Nagra Sanjay Bhatia Crime, Drama"
Padmakumar Narasimhamurthy,Dhruva Padmakumar,Gaurav Sharma,Vasuki,Drama,a billion colour story,Dhruva Padmakumar Gaurav Sharma Vasuki Padmakumar Narasimhamurthy Drama
Premraaj,Rajinder Verma,Sunil Lahri,Nishigandha Wad,Drama,a daughter's tale pankh,Rajinder Verma Sunil Lahri Nishigandha Wad Premraaj Drama
Konkona Sen Sharma,Kalki Koechlin,Vikrant Massey,Gulshan Devaiah,Drama Thriller,a death in the gunj,"Kalki Koechlin Vikrant Massey Gulshan Devaiah Konkona Sen Sharma Drama, Thriller"
Sekhar Suri,Sherlyn Chopra,Rajeev Kanakala,Richard Rishi,Horror Mystery,a film by aravind,"Sherlyn Chopra Rajeev Kanakala Richard Rishi Sekhar Suri Horror, Mystery"
Hemant Madhukar,Jimmy Sheirgill,Sanjay Suri,Hazel Croney,Drama Horror Romance,a flat,"Jimmy Sheirgill Sanjay Suri Hazel Croney Hemant Madhukar Drama, Horror, Romance"
Remo D'Souza,Tiger Shroff,Jacqueline Fernandez,Nathan Jones,Action Adventure Comedy,a flying jatt,"Tiger Shroff Jacqueline Fernandez Nathan Jones Remo D'Souza Action, Adventure, Comedy"
Vivek Sharma,Mandy Takhar,Vivek Sharma,Sumit Suri,Comedy Romance,a game called relationship,"Mandy Takhar Vivek Sharma Sumit Suri Vivek Sharma Comedy, Romance"
Krishna D.K.,Raj Nidimoru,Sidharth Malhotra,Jacqueline Fernandez,Action Comedy,a gentleman,"Raj Nidimoru Sidharth Malhotra Jacqueline Fernandez Krishna D.K. Action, Comedy"
Dhruv Sachdev,Sanjay Deyali,Sudha Chandran,Anang Desai,Drama Romance,a gift of love: sifar,"Sanjay Deyali Sudha Chandran Anang Desai Dhruv Sachdev Drama, Romance"
Praveen Damle,Geeta Agrawal,Jyoti Bagat,Gautam Dhengare,Drama,a journey of samyak buddha,Geeta Agrawal Jyoti Bagat Gautam Dhengare Praveen Damle Drama
John Mathew Matthan,Raqesh Bapat,Gurpreet Kaur Chadha,Smita Jaykar,Romance,a new love ishtory,Raqesh Bapat Gurpreet Kaur Chadha Smita Jaykar John Mathew Matthan Romance
Ishaan Trivedi,Johnny Baweja,Reeth Mazumder-Roberts,Manav Kaul,Thriller,a scandall,Johnny Baweja Reeth Mazumder-Roberts Manav Kaul Ishaan Trivedi Thriller
Tarique Khan,Sahil Seth,Gunjan Bakshi,Snehal Dabi,Drama,a strange love story,Sahil Seth Gunjan Bakshi Snehal Dabi Tarique Khan Drama
Suneel Darshan,Bobby Deol,Bipasha Basu,Priyanka Chopra Jonas,Drama Romance,a sublime love story: barsaat,"Bobby Deol Bipasha Basu Priyanka Chopra Jonas Suneel Darshan Drama, Romance"
Vierendrra Lalit,Trivikram Mattoo,Rahul Roy,Akansha Shivhare,Drama,a thin line,Trivikram Mattoo Rahul Roy Akansha Shivhare Vierendrra Lalit Drama
Neeraj Pandey,Anupam Kher,Naseeruddin Shah,Jimmy Sheirgill,Action Crime Drama,a wednesday,"Anupam Kher Naseeruddin Shah Jimmy Sheirgill Neeraj Pandey Action, Crime, Drama"
Rishi Kapoor,Rajesh Khanna,Akshaye Khanna,Aishwarya Rai Bachchan,Musical Romance Drama,aa ab laut chalen,"Rajesh Khanna Akshaye Khanna Aishwarya Rai Bachchan Rishi Kapoor Musical, Romance, Drama"
Ramkumar Shedge,Shravani Abhang,Sajid Ali,Tamannaah Bhatia,Drama,aa bb kk,Shravani Abhang Sajid Ali Tamannaah Bhatia Ramkumar Shedge Drama
Jehangir Surti,Neil Nitin Mukesh,Bipasha Basu,Sophiya Chaudhary,Action Sci-Fi Thriller,aa dekhen zara,"Neil Nitin Mukesh Bipasha Basu Sophiya Chaudhary Jehangir Surti Action, Sci-Fi, Thriller"
Manmohan Desai,Shashi Kapoor,Sharmila Tagore,Shatrughan Sinha,Action Drama Romance,aa gale lag jaa,"Shashi Kapoor Sharmila Tagore Shatrughan Sinha Manmohan Desai Action, Drama, Romance"
Hamid Ali Khan,Jugal Hansraj,Urmila Matondkar,Paresh Rawal,Mystery Romance,aa gale lag jaa,"Jugal Hansraj Urmila Matondkar Paresh Rawal Hamid Ali Khan Mystery, Romance"
Dipankar Senapati,Govinda,Richa Sharma,Poonam Pandey,Action,aa gaya hero,Govinda Richa Sharma Poonam Pandey Dipankar Senapati Action
Azad Jain,Neha Chauhan,Ganraj Jadhav,Dipak Khetiya,Drama,aa jao please,Neha Chauhan Ganraj Jadhav Dipak Khetiya Azad Jain Drama
T.L.V. Prasad,Mithun Chakraborty,Jackie Shroff,Sneha,Action,aaag hi aag,Mithun Chakraborty Jackie Shroff Sneha T.L.V. Prasad Action
Dheeraj Kumar,Naveen Bawa,Prabhu Deva,Satish Kaushik,Fantasy,aabra ka daabra,Naveen Bawa Prabhu Deva Satish Kaushik Dheeraj Kumar Fantasy
C.L. Rawal,Ashok Kumar,Vimi,Rehman,Comedy Crime Drama,aabroo,"Ashok Kumar Vimi Rehman C.L. Rawal Comedy, Crime, Drama"
Hasrat Lucknowi,Iftekhar,Kuldip Kaur,Raaj Kumar,Drama Romance,aabshar,"Iftekhar Kuldip Kaur Raaj Kumar Hasrat Lucknowi Drama, Romance"
Joginder Shelly,Sona Mastan Mirza,Joginder Shelly,Neelam Mehra,Action,aadamkhor,Sona Mastan Mirza Joginder Shelly Neelam Mehra Joginder Shelly Action
Kshitij Sharma,Deeya Dey,Anoma Pabuwal,Mahendra Singh Rawat,Horror,aadamkhor,Deeya Dey Anoma Pabuwal Mahendra Singh Rawat Kshitij Sharma Horror
Ambrish Sangal,Mithun Chakraborty,Rameshwari,Madan Puri,Action Crime Drama,aadat se majboor,"Mithun Chakraborty Rameshwari Madan Puri Ambrish Sangal Action, Crime, Drama"
Doondi,Jalal Agha,Vinod Khanna,Shabana Azmi,Action,aadha din aadhee raat,Jalal Agha Vinod Khanna Shabana Azmi Doondi Action
Suman Ghosh,Vineet Kumar Singh,Saurabh Shukla,Raghuvir Yadav,Drama,aadhaar,Vineet Kumar Singh Saurabh Shukla Raghuvir Yadav Suman Ghosh Drama
Ashok Ahuja,Dolly Ahluwalia,Raja Bundela,Neena Gupta,Drama,aadharshila,Dolly Ahluwalia Raja Bundela Neena Gupta Ashok Ahuja Drama
Ameer Sultan,Jayam Ravi,Neetu Chandra,Sudha Chandran,Action Crime Thriller,aadhi bhagavan,"Jayam Ravi Neetu Chandra Sudha Chandran Ameer Sultan Action, Crime, Thriller"
S.K. Ojha,Cuckoo,Jeevan,Kuldip Kaur,Drama Romance,aadhi raat,"Cuckoo Jeevan Kuldip Kaur S.K. Ojha Drama, Romance"
A. Bhimsingh,Dilip Kumar,Waheeda Rehman,Manoj Kumar,Drama Romance,aadmi,"Dilip Kumar Waheeda Rehman Manoj Kumar A. Bhimsingh Drama, Romance"
Arshad Khan,Ajit,Vikas Anand,Arjun,Action Crime Drama,aadmi,"Ajit Vikas Anand Arjun Arshad Khan Action, Crime, Drama"
J. Om Prakash,K. Raghavendra Rao,Chiranjeevi,Amrish Puri,Fantasy,aadmi aur apsara,K. Raghavendra Rao Chiranjeevi Amrish Puri J. Om Prakash Fantasy
Yash Chopra,Dharmendra,Saira Banu,Feroz Khan,Drama Romance Thriller,aadmi aur insaan,"Dharmendra Saira Banu Feroz Khan Yash Chopra Drama, Romance, Thriller"
J. Om Prakash,Jeetendra,Reena Roy,Govinda,Drama Romance,aadmi khilona hai,"Jeetendra Reena Roy Govinda J. Om Prakash Drama, Romance"
Amit Dutta,Ashok Chaudhary,Bramhaswaroop Mishra,Gagan Singh Sethi,Drama,aadmi ki aurat aur anya kahaniya,Ashok Chaudhary Bramhaswaroop Mishra Gagan Singh Sethi Amit Dutta Drama
Devendra Goel,Shatrughan Sinha,Vikram Makandar,Zaheera,Drama Family,aadmi sadak ka,"Shatrughan Sinha Vikram Makandar Zaheera Devendra Goel Drama, Family"
Kannan Thamarakkulam,Jayaram,Ramya Krishnan,Om Puri,Horror,aadupuliyattam,Jayaram Ramya Krishnan Om Puri Kannan Thamarakkulam Horror
Atma Ram,Navin Nischol,Leena Chandavarkar,Jayshree T.,Crime Drama,aafat,"Navin Nischol Leena Chandavarkar Jayshree T. Atma Ram Crime, Drama"
Raj Kapoor,Nargis,Kamini Kaushal,Nigar Sultana,Musical Romance,aag,"Nargis Kamini Kaushal Nigar Sultana Raj Kapoor Musical, Romance"
Naresh Kumar,Feroz Khan,Mumtaz,Achala Sachdev,Action Drama,aag,"Feroz Khan Mumtaz Achala Sachdev Naresh Kumar Action, Drama"
K. Ravi Shankar,Govinda,Shilpa Shetty Kundra,Sonali Bendre,Action Comedy Drama,aag,"Govinda Shilpa Shetty Kundra Sonali Bendre K. Ravi Shankar Action, Comedy, Drama"
Kanti Shah,Amit Dhamija,Mukesh Khanna,Kiran Kumar,Action Thriller,aag andhi aur toofan,"Amit Dhamija Mukesh Khanna Kiran Kumar Kanti Shah Action, Thriller"
Kanti Shah,Alpana,Aparajita,Asrani,Action,aag aur chingari,Alpana Aparajita Asrani Kanti Shah Action
A. Salaam,Joy Mukherjee,Poonam Sinha,Master Bhagwan,Action Comedy Drama,aag aur daag,"Joy Mukherjee Poonam Sinha Master Bhagwan A. Salaam Action, Comedy, Drama"
K. Bapaiah,Jeetendra,Sridevi,Mandakini,Action Drama Romance,aag aur shola,"Jeetendra Sridevi Mandakini K. Bapaiah Action, Drama, Romance"
Shibu Mitra,Dharmendra,Shatrughan Sinha,Moushumi Chatterjee,Action,aag hi aag,Dharmendra Shatrughan Sinha Moushumi Chatterjee Shibu Mitra Action
S.V. Rajendra Singh Babu,Avtar Gill,Rajiv Kapoor,Padmini Kolhapure,Action,aag ka dariya,Avtar Gill Rajiv Kapoor Padmini Kolhapure S.V. Rajendra Singh Babu Action
David Dhawan,Sunny Deol,Dimple Kapadia,Archana Puran Singh,Action Drama,aag ka gola,"Sunny Deol Dimple Kapadia Archana Puran Singh David Dhawan Action, Drama"
Kanti Shah,Dharmendra,Sadashiv Amrapurkar,Asrani,Action,aag ka toofaan,Dharmendra Sadashiv Amrapurkar Asrani Kanti Shah Action
S.R. Pratap,Bipasha,Hemant Birje,Sudhir Dalvi,Action Thriller,aag ke sholay,"Bipasha Hemant Birje Sudhir Dalvi S.R. Pratap Action, Thriller"
Anup Malik,Reema Lagoo,Kuldeep Mallik,Harish Patel,Drama Romance,aag laga do sawan ko,"Reema Lagoo Kuldeep Mallik Harish Patel Anup Malik Drama, Romance"
